"observation_id","source_id","source_institution","dataset_code","indicator_code","indicator_name_project","indicator_name_source","geo_code","geo_label","time_period","period_start","period_end","frequency","value","unit","scale","seasonal_adjustment","observation_type","latest_available_flag","retrieved_at","source_release_date","revision_status","comparability_group","definition_note","quality_flag","include_in_public_mvp"
"eurostat_gdp_annual_growth_real_AT_2025","eurostat_gdp_annual_growth_real","Eurostat","nama_10_gdp","na_item=B1GQ;unit=CLV_PCH_PRE","Real GDP growth","Gross domestic product at market prices; chain linked volumes, percentage change on previous period","AT","Austria","2025","2025-01-01","2025-12-31","Annual","0.8","Percentage change on previous period","source value as reported","Not applicable for selected annual path","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-06-26T23:00:00+0200","not_assessed","annual_real_gdp_growth","Annual real GDP growth; chain linked volumes; percentage change on previous period.","validated_live_retrieval","TRUE"
"eurostat_gdp_annual_growth_real_EU27_2020_2025","eurostat_gdp_annual_growth_real","Eurostat","nama_10_gdp","na_item=B1GQ;unit=CLV_PCH_PRE","Real GDP growth","Gross domestic product at market prices; chain linked volumes, percentage change on previous period","EU27_2020","European Union - 27 countries (from 2020)","2025","2025-01-01","2025-12-31","Annual","1.5","Percentage change on previous period","source value as reported","Not applicable for selected annual path","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-06-26T23:00:00+0200","not_assessed","annual_real_gdp_growth","Annual real GDP growth; chain linked volumes; percentage change on previous period.","validated_live_retrieval","TRUE"
"eurostat_hicp_annual_all_items_AT_2025","eurostat_hicp_annual_all_items","Eurostat","prc_hicp_aind","coicop=CP00;unit=RCH_A_AVG","HICP inflation","All-items HICP; annual average rate of change","AT","Austria","2025","2025-01-01","2025-12-31","Annual","3.6","Annual average rate of change","source value as reported","Not applicable for selected annual path","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-02-06T23:00:00+0100","not_assessed","annual_hicp_all_items","Annual all-items HICP inflation; annual average rate of change.","validated_live_retrieval","TRUE"
"eurostat_hicp_annual_all_items_EU27_2020_2025","eurostat_hicp_annual_all_items","Eurostat","prc_hicp_aind","coicop=CP00;unit=RCH_A_AVG","HICP inflation","All-items HICP; annual average rate of change","EU27_2020","European Union - 27 countries (from 2020)","2025","2025-01-01","2025-12-31","Annual","2.5","Annual average rate of change","source value as reported","Not applicable for selected annual path","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-02-06T23:00:00+0100","not_assessed","annual_hicp_all_items","Annual all-items HICP inflation; annual average rate of change.","validated_live_retrieval","TRUE"
"eurostat_hicp_annual_energy_AT_2025","eurostat_hicp_annual_energy","Eurostat","prc_hicp_aind","coicop=NRG;unit=RCH_A_AVG","Energy inflation","Energy; annual average rate of change","AT","Austria","2025","2025-01-01","2025-12-31","Annual","7.6","Annual average rate of change","source value as reported","Not applicable for selected annual path","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-02-06T23:00:00+0100","not_assessed","annual_hicp_energy","Annual HICP energy inflation; annual average rate of change. This is not a broad energy stress proxy.","validated_live_retrieval","TRUE"
"eurostat_hicp_annual_energy_EU27_2020_2025","eurostat_hicp_annual_energy","Eurostat","prc_hicp_aind","coicop=NRG;unit=RCH_A_AVG","Energy inflation","Energy; annual average rate of change","EU27_2020","European Union - 27 countries (from 2020)","2025","2025-01-01","2025-12-31","Annual","-0.6","Annual average rate of change","source value as reported","Not applicable for selected annual path","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-02-06T23:00:00+0100","not_assessed","annual_hicp_energy","Annual HICP energy inflation; annual average rate of change. This is not a broad energy stress proxy.","validated_live_retrieval","TRUE"
"eurostat_unemployment_monthly_rate_AT_2026_05","eurostat_unemployment_monthly_rate","Eurostat","une_rt_m","age=TOTAL;sex=T;unit=PC_ACT;s_adj=SA","Unemployment rate","Unemployment by sex and age; total age aggregate; total sex; percentage of population in the labour force; seasonally adjusted data","AT","Austria","2026-05","2026-05-01","2026-05-31","Monthly","5.8","Percentage of population in the labour force","source value as reported","Seasonally adjusted data, not calendar adjusted data","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-07-02T11:00:00+0200","not_assessed","monthly_unemployment_frequency_mismatch","Monthly unemployment rate; total age aggregate; percentage of labour force; seasonally adjusted. Frequency differs from annual MVP indicators.","validated_live_retrieval","TRUE"
"eurostat_unemployment_monthly_rate_EU27_2020_2026_05","eurostat_unemployment_monthly_rate","Eurostat","une_rt_m","age=TOTAL;sex=T;unit=PC_ACT;s_adj=SA","Unemployment rate","Unemployment by sex and age; total age aggregate; total sex; percentage of population in the labour force; seasonally adjusted data","EU27_2020","European Union - 27 countries (from 2020)","2026-05","2026-05-01","2026-05-31","Monthly","5.9","Percentage of population in the labour force","source value as reported","Seasonally adjusted data, not calendar adjusted data","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-07-02T11:00:00+0200","not_assessed","monthly_unemployment_frequency_mismatch","Monthly unemployment rate; total age aggregate; percentage of labour force; seasonally adjusted. Frequency differs from annual MVP indicators.","validated_live_retrieval","TRUE"
"eurostat_government_debt_gross_AT_2025","eurostat_government_debt_gross","Eurostat","gov_10dd_edpt1","sector=S13;na_item=GD;unit=PC_GDP","General government gross debt percent of GDP","Government consolidated gross debt; percentage of gross domestic product (GDP); general government","AT","Austria","2025","2025-01-01","2025-12-31","Annual","81.5","Percentage of gross domestic product (GDP)","source value as reported","Not applicable","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-04-22T11:00:00+0200","not_assessed","annual_government_finance","General government consolidated gross debt; percentage of GDP.","validated_live_retrieval","TRUE"
"eurostat_government_debt_gross_EU27_2020_2025","eurostat_government_debt_gross","Eurostat","gov_10dd_edpt1","sector=S13;na_item=GD;unit=PC_GDP","General government gross debt percent of GDP","Government consolidated gross debt; percentage of gross domestic product (GDP); general government","EU27_2020","European Union - 27 countries (from 2020)","2025","2025-01-01","2025-12-31","Annual","81.7","Percentage of gross domestic product (GDP)","source value as reported","Not applicable","Observation","TRUE","2026-07-02T18:08:22.4885675+02:00","2026-04-22T11:00:00+0200","not_assessed","annual_government_finance","General government consolidated gross debt; percentage of GDP.","validated_live_retrieval","TRUE"
